Gene name	Chromosome/scaffold name	Strand direction	Transcript	Intron/Exon	Intron/Exon number	Start (bp)	End (bp)	Length
RpS3A	chr4	Rev	NM_001258475	Intron	2	66050	66104	55
RpS3A	chr4	Rev	NM_001258475	Intron	1	66739	66839	101
ci	chr4	Rev	NM_001258473	Intron	5	50463	50515	53
ci	chr4	Rev	NM_001258473	Intron	4	50681	50744	64
ci	chr4	Rev	NM_001258473	Intron	3	51258	51313	56
ci	chr4	Rev	NM_001258473	Intron	2	51955	52016	62
ci	chr4	Rev	NM_001258473	Intron	1	52385	56290	3906
PlexB	chr4	Rev	NM_001258471	Intron	4	33126	33190	65
PlexB	chr4	Rev	NM_001258471	Intron	3	33374	35873	2500
PlexB	chr4	Rev	NM_001258471	Intron	2	36458	36515	58
PlexB	chr4	Rev	NM_001258471	Intron	1	41286	42913	1628
dpr7	chr4	Rev	NM_001103380	Intron	8	247229	249556	2328
dpr7	chr4	Rev	NM_001103380	Intron	7	249736	249789	54
dpr7	chr4	Rev	NM_001103380	Intron	6	249978	250033	56
dpr7	chr4	Rev	NM_001103380	Intron	5	250137	250189	53
dpr7	chr4	Rev	NM_001103380	Intron	4	250244	251314	1071
dpr7	chr4	Rev	NM_001103380	Intron	3	251526	252054	529
dpr7	chr4	Rev	NM_001103380	Intron	2	252171	252823	653
dpr7	chr4	Rev	NM_001103380	Intron	1	253014	253200	187
CG33978	chr4	Rev	NM_001272115	Intron	11	158578	158643	66
CG33978	chr4	Rev	NM_001272115	Intron	10	158705	159221	517
CG33978	chr4	Rev	NM_001272115	Intron	9	159713	159766	54
CG33978	chr4	Rev	NM_001272115	Intron	8	160276	160331	56
CG33978	chr4	Rev	NM_001272115	Intron	7	160462	160524	63
CG33978	chr4	Rev	NM_001272115	Intron	6	160764	160821	58
CG33978	chr4	Rev	NM_001272115	Intron	5	164396	164461	66
CG33978	chr4	Rev	NM_001272115	Intron	4	164657	164714	58
CG33978	chr4	Rev	NM_001272115	Intron	3	165065	174110	9046
CG33978	chr4	Rev	NM_001272115	Intron	2	174165	174784	620
CG33978	chr4	Rev	NM_001272115	Intron	1	174969	175515	547
CG2316	chr4	Rev	NM_166736	Intron	9	184615	184669	55
CG2316	chr4	Rev	NM_166736	Intron	8	184796	185826	1031
CG2316	chr4	Rev	NM_166736	Intron	7	185917	185977	61
CG2316	chr4	Rev	NM_166736	Intron	6	186841	187996	1156
CG2316	chr4	Rev	NM_166736	Intron	5	188170	188229	60
CG2316	chr4	Rev	NM_166736	Intron	4	188370	188424	55
CG2316	chr4	Rev	NM_166736	Intron	3	188524	188577	54
CG2316	chr4	Rev	NM_166736	Intron	2	189249	189997	749
CG2316	chr4	Rev	NM_166736	Intron	1	190062	193544	3483
CG31997	chr4	Rev	NM_001297780	Intron	2	154966	155026	61
CG31997	chr4	Rev	NM_001297780	Intron	1	155148	155764	617
CG31999	chr4	Rev	NM_001297783	Intron	13	215268	215329	62
CG31999	chr4	Rev	NM_001297783	Intron	12	215561	217405	1845
CG31999	chr4	Rev	NM_001297783	Intron	11	217495	218247	753
CG31999	chr4	Rev	NM_001297783	Intron	10	218381	218445	65
CG31999	chr4	Rev	NM_001297783	Intron	9	218891	219890	1000
CG31999	chr4	Rev	NM_001297783	Intron	8	220029	220143	115
CG31999	chr4	Rev	NM_001297783	Intron	7	220438	222540	2103
CG31999	chr4	Rev	NM_001297783	Intron	6	222599	222653	55
CG31999	chr4	Rev	NM_001297783	Intron	5	222737	222790	54
CG31999	chr4	Rev	NM_001297783	Intron	4	223013	223556	544
CG31999	chr4	Rev	NM_001297783	Intron	3	223887	223944	58
CG31999	chr4	Rev	NM_001297783	Intron	2	224440	225761	1322
CG31999	chr4	Rev	NM_001297783	Intron	1	226551	227675	1125
Arl4	chr4	Rev	NM_001258479	Intron	4	177993	178777	785
Arl4	chr4	Rev	NM_001258479	Intron	3	178881	178936	56
Arl4	chr4	Rev	NM_001258479	Intron	2	179035	179091	57
Arl4	chr4	Rev	NM_001258479	Intron	1	179212	179260	49
CG31998	chr4	Rev	NM_001258481	Intron	4	201384	201440	57
NfI	chr4	Rev	NM_001272122	Intron	8	270500	270559	60
NfI	chr4	Rev	NM_001272122	Intron	7	270756	271068	313
NfI	chr4	Rev	NM_001272122	Intron	6	271848	271914	67
NfI	chr4	Rev	NM_001272122	Intron	5	272161	272225	65
NfI	chr4	Rev	NM_001272122	Intron	4	272409	273114	706
NfI	chr4	Rev	NM_001272122	Intron	3	273713	273760	48
NfI	chr4	Rev	NM_001272122	Intron	2	273917	275579	1663
Syt7	chr4	Rev	NM_166749	Intron	9	280240	280324	85
Syt7	chr4	Rev	NM_166749	Intron	8	280432	280496	65
Syt7	chr4	Rev	NM_166749	Intron	7	280538	281723	1186
Syt7	chr4	Rev	NM_166749	Intron	6	281893	281947	55
Syt7	chr4	Rev	NM_166749	Intron	5	282029	282435	407
Syt7	chr4	Rev	NM_166749	Intron	4	282739	302241	19503
Syt7	chr4	Rev	NM_166749	Intron	3	302324	302385	62
Syt7	chr4	Rev	NM_166749	Intron	2	302527	305015	2489
Syt7	chr4	Rev	NM_166749	Intron	1	305179	306439	1261
Ekar	chr4	Rev	NM_001042785	Intron	12	636619	639014	2396
Ekar	chr4	Rev	NM_001042785	Intron	11	639204	639332	129
Ekar	chr4	Rev	NM_001042785	Intron	10	639535	639592	58
Ekar	chr4	Rev	NM_001042785	Intron	9	640049	640106	58
Ekar	chr4	Rev	NM_001042785	Intron	8	640212	640272	61
Ekar	chr4	Rev	NM_001042785	Intron	7	640477	640532	56
Ekar	chr4	Rev	NM_001042785	Intron	6	640737	642275	1539
Ekar	chr4	Rev	NM_001042785	Intron	5	642429	642491	63
Ekar	chr4	Rev	NM_001042785	Intron	4	642729	643988	1260
Ekar	chr4	Rev	NM_001042785	Intron	3	644156	645948	1793
Ekar	chr4	Rev	NM_001042785	Intron	2	646183	646232	50
Ekar	chr4	Rev	NM_001042785	Intron	1	646395	646444	50
ND-49	chr4	Rev	NM_001272135	Intron	6	569057	569113	57
ND-49	chr4	Rev	NM_001272135	Intron	5	569302	569974	673
ND-49	chr4	Rev	NM_001272135	Intron	4	570177	570233	57
ND-49	chr4	Rev	NM_001272135	Intron	3	570344	570408	65
ND-49	chr4	Rev	NM_001272135	Intron	2	570534	570603	70
ND-49	chr4	Rev	NM_001272135	Intron	1	570782	571534	753
onecut	chr4	Rev	NM_001272136	Intron	4	601530	601756	227
onecut	chr4	Rev	NM_001272136	Intron	3	601936	603311	1376
onecut	chr4	Rev	NM_001272136	Intron	2	604253	605002	750
onecut	chr4	Rev	NM_001272136	Intron	1	606745	607436	692
mav	chr4	Rev	NM_079887	Intron	1	624664	624771	108
Thd1	chr4	Rev	NM_001297786	Intron	5	548144	549258	1115
Thd1	chr4	Rev	NM_001297786	Intron	4	549622	549713	92
Thd1	chr4	Rev	NM_001297786	Intron	3	549874	550753	880
Thd1	chr4	Rev	NM_001297786	Intron	2	551381	551990	610
Thd1	chr4	Rev	NM_001297786	Intron	1	553742	557442	3701
myo	chr4	Rev	NM_166788	Intron	4	692360	692424	65
myo	chr4	Rev	NM_166788	Intron	3	692844	693380	537
myo	chr4	Rev	NM_166788	Intron	2	694417	695213	797
myo	chr4	Rev	NM_166788	Intron	1	695338	695696	359
Gyf	chr4	Rev	NM_001169357	Intron	9	853768	855255	1488
Gyf	chr4	Rev	NM_001169357	Intron	8	855636	855685	50
Gyf	chr4	Rev	NM_001169357	Intron	7	855841	860306	4466
Gyf	chr4	Rev	NM_001169357	Intron	6	860382	860439	58
Gyf	chr4	Rev	NM_001169357	Intron	5	861388	861792	405
Gyf	chr4	Rev	NM_001169357	Intron	4	864412	865347	936
Gyf	chr4	Rev	NM_001169357	Intron	3	865643	865701	59
Gyf	chr4	Rev	NM_001169357	Intron	2	865873	865930	58
Gyf	chr4	Rev	NM_001169357	Intron	1	866295	866975	681
fuss	chr4	Rev	NM_001169358	Intron	4	962729	963720	992
fuss	chr4	Rev	NM_001169358	Intron	3	964119	964171	53
fuss	chr4	Rev	NM_001169358	Intron	2	965640	972037	6398
fuss	chr4	Rev	NM_001169358	Intron	1	972139	978206	6068
4E-T	chr4	Rev	NM_166796	Intron	8	952078	952137	60
4E-T	chr4	Rev	NM_166796	Intron	7	952462	953512	1051
4E-T	chr4	Rev	NM_166796	Intron	6	953900	954019	120
4E-T	chr4	Rev	NM_166796	Intron	5	954227	954488	262
4E-T	chr4	Rev	NM_166796	Intron	4	954864	954920	57
4E-T	chr4	Rev	NM_166796	Intron	3	955051	956544	1494
4E-T	chr4	Rev	NM_166796	Intron	2	957890	958005	116
4E-T	chr4	Rev	NM_166796	Intron	1	958124	958288	165
CG11076	chr4	Rev	NM_001258500	Intron	1	1030778	1031594	817
PlexA	chr4	Rev	NM_001258499	Intron	9	1013769	1014317	549
PlexA	chr4	Rev	NM_001258499	Intron	8	1014527	1014582	56
PlexA	chr4	Rev	NM_001258499	Intron	7	1014729	1014777	49
PlexA	chr4	Rev	NM_001258499	Intron	6	1014909	1014965	57
PlexA	chr4	Rev	NM_001258499	Intron	5	1015302	1015424	123
PlexA	chr4	Rev	NM_001258499	Intron	4	1015621	1016375	755
PlexA	chr4	Rev	NM_001258499	Intron	3	1018710	1018769	60
PlexA	chr4	Rev	NM_001258499	Intron	2	1020016	1022241	2226
PlexA	chr4	Rev	NM_001258499	Intron	1	1023681	1026769	3089
Zyx	chr4	Rev	NM_166819	Intron	8	1057573	1057632	60
Zyx	chr4	Rev	NM_166819	Intron	7	1057754	1057806	53
Zyx	chr4	Rev	NM_166819	Intron	6	1058156	1058209	54
Zyx	chr4	Rev	NM_166819	Intron	5	1058505	1059100	596
Zyx	chr4	Rev	NM_166819	Intron	4	1059352	1059418	67
Zyx	chr4	Rev	NM_166819	Intron	3	1059837	1060412	576
Zyx	chr4	Rev	NM_166819	Intron	2	1060635	1064244	3610
Zyx	chr4	Rev	NM_166819	Intron	1	1064382	1064822	441
Actbeta	chr4	Rev	NM_143685	Intron	5	1077830	1077885	56
Actbeta	chr4	Rev	NM_143685	Intron	4	1078520	1078572	53
Actbeta	chr4	Rev	NM_143685	Intron	3	1078830	1080256	1427
Actbeta	chr4	Rev	NM_143685	Intron	2	1081208	1082126	919
Actbeta	chr4	Rev	NM_143685	Intron	1	1083274	1084613	1340
CG32017	chr4	Rev	NM_001297794	Intron	6	1140001	1140486	486
CG32017	chr4	Rev	NM_001297794	Intron	5	1140902	1140959	58
CG32017	chr4	Rev	NM_001297794	Intron	4	1141368	1143448	2081
CG32017	chr4	Rev	NM_001297794	Intron	3	1143566	1143626	61
CG32017	chr4	Rev	NM_001297794	Intron	2	1143869	1143984	116
CG32017	chr4	Rev	NM_001297794	Intron	1	1144114	1161765	17652
Cals	chr4	Rev	NM_001297793	Intron	11	1115895	1115955	61
Cals	chr4	Rev	NM_001297793	Intron	10	1116080	1116325	246
Cals	chr4	Rev	NM_001297793	Intron	9	1116457	1116514	58
Cals	chr4	Rev	NM_001297793	Intron	8	1116599	1116659	61
Cals	chr4	Rev	NM_001297793	Intron	7	1117215	1117850	636
Cals	chr4	Rev	NM_001297793	Intron	6	1117906	1117967	62
Cals	chr4	Rev	NM_001297793	Intron	5	1119018	1119936	919
Cals	chr4	Rev	NM_001297793	Intron	4	1120048	1120105	58
Cals	chr4	Rev	NM_001297793	Intron	3	1120607	1120658	52
Cals	chr4	Rev	NM_001297793	Intron	2	1120802	1121458	657
Cals	chr4	Rev	NM_001297793	Intron	1	1121623	1122827	1205
PIP4K	chr4	Rev	NM_001038717	Intron	9	1192653	1192705	53
PIP4K	chr4	Rev	NM_001038717	Intron	8	1192771	1193559	789
PIP4K	chr4	Rev	NM_001038717	Intron	7	1193655	1193707	53
PIP4K	chr4	Rev	NM_001038717	Intron	6	1193860	1195427	1568
PIP4K	chr4	Rev	NM_001038717	Intron	5	1195597	1195659	63
PIP4K	chr4	Rev	NM_001038717	Intron	4	1195791	1195841	51
PIP4K	chr4	Rev	NM_001038717	Intron	3	1196092	1196164	73
PIP4K	chr4	Rev	NM_001038717	Intron	2	1196263	1196319	57
PIP4K	chr4	Rev	NM_001038717	Intron	1	1196478	1196707	230
if	chrX	Rev	NM_078654	Intron	11	16753555	16753634	80
if	chrX	Rev	NM_078654	Intron	10	16755465	16755521	57
if	chrX	Rev	NM_078654	Intron	9	16755766	16755836	71
if	chrX	Rev	NM_078654	Intron	8	16757116	16758513	1398
if	chrX	Rev	NM_078654	Intron	7	16758589	16760330	1742
if	chrX	Rev	NM_078654	Intron	6	16760380	16760947	568
if	chrX	Rev	NM_078654	Intron	5	16761010	16764484	3475
if	chrX	Rev	NM_078654	Intron	4	16764612	16769852	5241
if	chrX	Rev	NM_078654	Intron	3	16769951	16771564	1614
if	chrX	Rev	NM_078654	Intron	2	16771696	16779850	8155
if	chrX	Rev	NM_078654	Intron	1	16780197	16783317	3121
CG1677	chrX	Rev	NM_167124	Intron	6	7281750	7281822	73
CG1677	chrX	Rev	NM_167124	Intron	5	7281961	7282023	63
CG1677	chrX	Rev	NM_167124	Intron	4	7282177	7282241	65
CG1677	chrX	Rev	NM_167124	Intron	3	7283869	7283940	72
CG1677	chrX	Rev	NM_167124	Intron	2	7284759	7358660	73902
Fas2	chrX	Rev	NM_001272308	Intron	9	4134904	4136568	1665
Fas2	chrX	Rev	NM_001272308	Intron	8	4136771	4141770	5000
Fas2	chrX	Rev	NM_001272308	Intron	7	4141955	4142049	95
Fas2	chrX	Rev	NM_001272308	Intron	6	4143544	4143626	83
Fas2	chrX	Rev	NM_001272308	Intron	5	4143752	4149387	5636
Fas2	chrX	Rev	NM_001272308	Intron	4	4149552	4154386	4835
Fas2	chrX	Rev	NM_001272308	Intron	3	4154432	4154584	153
Fas2	chrX	Rev	NM_001272308	Intron	2	4154757	4203190	48434
Fas2	chrX	Rev	NM_001272308	Intron	1	4203487	4205899	2413
CG1677	chrX	Rev	NM_167124	Intron	1	7358688	7405144	46457
CG11138	chrX	Rev	NM_001272557	Intron	2	12572627	12572771	145
CG11138	chrX	Rev	NM_001272557	Intron	1	12573410	12581571	8162
CG32687	chrX	Rev	NM_001272483	Intron	3	10483241	10483341	101
CG32687	chrX	Rev	NM_001272483	Intron	2	10483559	10485710	2152
CG32687	chrX	Rev	NM_001272483	Intron	1	10486734	10486855	122
mgl	chrX	Rev	NM_001298124	Intron	14	9360535	9360605	71
mgl	chrX	Rev	NM_001298124	Intron	13	9360854	9360932	79
mgl	chrX	Rev	NM_001298124	Intron	12	9363120	9363180	61
mgl	chrX	Rev	NM_001298124	Intron	11	9363494	9363556	63
mgl	chrX	Rev	NM_001298124	Intron	10	9365062	9365125	64
mgl	chrX	Rev	NM_001298124	Intron	9	9365533	9365591	59
mgl	chrX	Rev	NM_001298124	Intron	8	9365804	9365877	74
mgl	chrX	Rev	NM_001298124	Intron	7	9371539	9371618	80
mgl	chrX	Rev	NM_001298124	Intron	6	9373938	9375003	1066
CG45486	chrX	Rev	NM_001298538	Intron	3	19914714	19938478	23765
CG45486	chrX	Rev	NM_001298538	Intron	1	19938511	19938612	102
CG45492	chrX	Rev	NM_001298544	Intron	4	19914714	19933787	19074
CG45492	chrX	Rev	NM_001298544	Intron	1	19933820	19933921	102
Socs16D	chrX	Rev	NM_001272733	Intron	8	17822351	17822426	76
Socs16D	chrX	Rev	NM_001272733	Intron	7	17822560	17822624	65
Socs16D	chrX	Rev	NM_001272733	Intron	6	17822733	17822797	65
Socs16D	chrX	Rev	NM_001272733	Intron	5	17822889	17822958	70
Socs16D	chrX	Rev	NM_001272733	Intron	4	17823128	17823190	63
Socs16D	chrX	Rev	NM_001272733	Intron	3	17823319	17823377	59
Socs16D	chrX	Rev	NM_001272733	Intron	2	17825482	17825546	65
Socs16D	chrX	Rev	NM_001272733	Intron	1	17825891	17827322	1432
mgl	chrX	Rev	NM_001298124	Intron	5	9375259	9375356	98
mgl	chrX	Rev	NM_001298124	Intron	4	9375630	9382609	6980
mgl	chrX	Rev	NM_001298124	Intron	3	9382742	9383206	465
mgl	chrX	Rev	NM_001298124	Intron	2	9383366	9471998	88633
mgl	chrX	Rev	NM_001298124	Intron	1	9472658	9499873	27216
CG32816	chrX	Rev	NM_001144667	Intron	2	317929	418476	100548
CG32816	chrX	Rev	NM_001144667	Intron	1	418513	470404	51892
CG43867	chrX	Rev	NM_001272180	Intron	12	810958	811026	69
CG43867	chrX	Rev	NM_001272180	Intron	11	811369	811593	225
CG43867	chrX	Rev	NM_001272180	Intron	10	811690	818405	6716
CG43867	chrX	Rev	NM_001272180	Intron	9	818616	818679	64
CG43867	chrX	Rev	NM_001272180	Intron	8	818793	818850	58
CG43867	chrX	Rev	NM_001272180	Intron	7	819134	819210	77
CG43867	chrX	Rev	NM_001272180	Intron	6	819634	819692	59
CG43867	chrX	Rev	NM_001272180	Intron	5	819827	820504	678
CG43867	chrX	Rev	NM_001272180	Intron	4	821970	843111	21142
CG43867	chrX	Rev	NM_001272180	Intron	3	843175	893221	50047
CG43867	chrX	Rev	NM_001272180	Intron	2	893315	893467	153
CG43867	chrX	Rev	NM_001272180	Intron	1	894306	927856	33551
CG13377	chrX	Rev	NM_001272160	Intron	2	258829	258892	64
CG13377	chrX	Rev	NM_001272160	Intron	1	259672	263861	4190
Hmt4-20	chrX	Rev	NM_130497	Intron	2	653239	653369	131
Hmt4-20	chrX	Rev	NM_130497	Intron	1	654097	655379	1283
DAAM	chrX	Rev	NM_166876	Intron	11	1291345	1291404	60
DAAM	chrX	Rev	NM_166876	Intron	10	1291569	1291625	57
DAAM	chrX	Rev	NM_166876	Intron	9	1291788	1291843	56
DAAM	chrX	Rev	NM_166876	Intron	8	1291987	1292051	65
DAAM	chrX	Rev	NM_166876	Intron	7	1292258	1292320	63
DAAM	chrX	Rev	NM_166876	Intron	6	1293017	1293079	63
DAAM	chrX	Rev	NM_166876	Intron	5	1293258	1293317	60
DAAM	chrX	Rev	NM_166876	Intron	4	1294287	1295009	723
DAAM	chrX	Rev	NM_166876	Intron	3	1295937	1309858	13922
DAAM	chrX	Rev	NM_166876	Intron	2	1309901	1316074	6174
DAAM	chrX	Rev	NM_166876	Intron	1	1316162	1322199	6038
Mur2B	chrX	Rev	NM_001297860	Intron	8	1552528	1552610	83
Mur2B	chrX	Rev	NM_001297860	Intron	7	1554564	1554667	104
Mur2B	chrX	Rev	NM_001297860	Intron	6	1557594	1557658	65
Mur2B	chrX	Rev	NM_001297860	Intron	5	1557773	1557914	142
Mur2B	chrX	Rev	NM_001297860	Intron	4	1558792	1584140	25349
Mur2B	chrX	Rev	NM_001297860	Intron	3	1584256	1604735	20480
trol	chrX	Rev	NM_001031867	Intron	44	2471195	2472951	1757
trol	chrX	Rev	NM_001031867	Intron	43	2473100	2473174	75
trol	chrX	Rev	NM_001031867	Intron	42	2473592	2473659	68
trol	chrX	Rev	NM_001031867	Intron	41	2474361	2474429	69
trol	chrX	Rev	NM_001031867	Intron	40	2475356	2475415	60
trol	chrX	Rev	NM_001031867	Intron	39	2475689	2475823	135
trol	chrX	Rev	NM_001031867	Intron	38	2476030	2478422	2393
trol	chrX	Rev	NM_001031867	Intron	37	2478507	2480733	2227
trol	chrX	Rev	NM_001031867	Intron	36	2480909	2481069	161
trol	chrX	Rev	NM_001031867	Intron	35	2481320	2481416	97
trol	chrX	Rev	NM_001031867	Intron	34	2481877	2481996	120
trol	chrX	Rev	NM_001031867	Intron	33	2482392	2482458	67
trol	chrX	Rev	NM_001031867	Intron	32	2482637	2483123	487
trol	chrX	Rev	NM_001031867	Intron	31	2483387	2483485	99
trol	chrX	Rev	NM_001031867	Intron	30	2484090	2484332	243
trol	chrX	Rev	NM_001031867	Intron	29	2484514	2484616	103
trol	chrX	Rev	NM_001031867	Intron	28	2484760	2486926	2167
trol	chrX	Rev	NM_001031867	Intron	27	2488014	2488080	67
trol	chrX	Rev	NM_001031867	Intron	26	2490318	2490455	138
trol	chrX	Rev	NM_001031867	Intron	25	2490843	2491318	476
trol	chrX	Rev	NM_001031867	Intron	24	2491413	2491480	68
trol	chrX	Rev	NM_001031867	Intron	23	2491615	2492345	731
trol	chrX	Rev	NM_001031867	Intron	22	2492421	2492987	567
trol	chrX	Rev	NM_001031867	Intron	21	2493216	2494403	1188
CG14418	chrX	Rev	NM_130677	Intron	1	2883468	2883551	84
CG2841	chrX	Rev	NM_001258559	Intron	3	2348878	2348944	67
CG2841	chrX	Rev	NM_001258559	Intron	2	2349248	2349341	94
CG2841	chrX	Rev	NM_001258559	Intron	1	2349614	2365905	16292
CG2938	chrX	Rev	NM_001272297	Intron	3	3935180	3935259	80
CG12535	chrX	Rev	NM_001297909	Intron	3	3392892	3393024	133
CG12535	chrX	Rev	NM_001297909	Intron	2	3393532	3423862	30331
CG12535	chrX	Rev	NM_001297909	Intron	1	3424293	3448894	24602
Parg	chrX	Rev	NM_057973	Intron	1	3670588	3670654	67
CG42492	chrX	Rev	NM_001272326	Intron	13	5629025	5629384	360
CG42492	chrX	Rev	NM_001272326	Intron	12	5629746	5630023	278
CG42492	chrX	Rev	NM_001272326	Intron	11	5631496	5633105	1610
CG42492	chrX	Rev	NM_001272326	Intron	10	5633267	5633353	87
CG42492	chrX	Rev	NM_001272326	Intron	9	5633466	5633737	272
CG42492	chrX	Rev	NM_001272326	Intron	8	5633759	5633870	112
CG42492	chrX	Rev	NM_001272326	Intron	7	5634029	5634240	212
CG42492	chrX	Rev	NM_001272326	Intron	6	5634426	5640917	6492
CG3097	chrX	Rev	NM_132031	Intron	3	5766869	5767073	205
CG3097	chrX	Rev	NM_132031	Intron	2	5767228	5767288	61
CG3097	chrX	Rev	NM_132031	Intron	1	5767724	5770400	2677
Sxl	chrX	Rev	NM_167114	Intron	8	7079368	7080988	1621
Sxl	chrX	Rev	NM_167114	Intron	7	7081055	7084598	3544
Sxl	chrX	Rev	NM_167114	Intron	6	7084820	7085157	338
Sxl	chrX	Rev	NM_167114	Intron	5	7085340	7085409	70
Sxl	chrX	Rev	NM_167114	Intron	4	7085518	7085618	101
Sxl	chrX	Rev	NM_167114	Intron	3	7085955	7087613	1659
Sxl	chrX	Rev	NM_167114	Intron	2	7087660	7091673	4014
Sxl	chrX	Rev	NM_167114	Intron	1	7092123	7098000	5878
cyr	chrX	Rev	NM_132214	Intron	5	8122030	8122369	340
cyr	chrX	Rev	NM_132214	Intron	4	8122515	8123191	677
cyr	chrX	Rev	NM_132214	Intron	3	8123369	8126689	3321
cyr	chrX	Rev	NM_132214	Intron	2	8126979	8127060	82
cyr	chrX	Rev	NM_132214	Intron	1	8127823	8135384	7562
Pdp	chrX	Rev	NM_001258638	Intron	3	7732246	7732313	68
Pdp	chrX	Rev	NM_001258638	Intron	2	7732882	7732987	106
Pdp	chrX	Rev	NM_001258638	Intron	1	7733490	7734018	529
Lim1	chrX	Rev	NM_132277	Intron	6	8758405	8758694	290
Lim1	chrX	Rev	NM_132277	Intron	5	8758957	8768055	9099
Lim1	chrX	Rev	NM_132277	Intron	4	8768275	8768751	477
Lim1	chrX	Rev	NM_132277	Intron	3	8768943	8787609	18667
Lim1	chrX	Rev	NM_132277	Intron	2	8787837	8788733	897
Lim1	chrX	Rev	NM_132277	Intron	1	8788930	8804963	16034
Cubn	chrX	Rev	NM_167193	Intron	14	9559015	9559072	58
Cubn	chrX	Rev	NM_167193	Intron	13	9559749	9559818	70
Cubn	chrX	Rev	NM_167193	Intron	12	9561613	9561674	62
Cubn	chrX	Rev	NM_167193	Intron	11	9562173	9562240	68
Cubn	chrX	Rev	NM_167193	Intron	10	9564568	9564626	59
Cubn	chrX	Rev	NM_167193	Intron	9	9565309	9565375	67
Cubn	chrX	Rev	NM_167193	Intron	8	9565741	9565840	100
Cubn	chrX	Rev	NM_167193	Intron	7	9566004	9566069	66
Cubn	chrX	Rev	NM_167193	Intron	6	9567807	9567875	69
Cubn	chrX	Rev	NM_167193	Intron	5	9568572	9568637	66
Cubn	chrX	Rev	NM_167193	Intron	4	9569391	9569455	65
Cubn	chrX	Rev	NM_167193	Intron	3	9570209	9570453	245
Cubn	chrX	Rev	NM_167193	Intron	2	9570638	9570872	235
Cubn	chrX	Rev	NM_167193	Intron	1	9571149	9571213	65
l(1)G0289	chrX	Rev	NM_001316627	Intron	7	10348855	10356366	7512
l(1)G0289	chrX	Rev	NM_001316627	Intron	6	10357814	10358085	272
l(1)G0289	chrX	Rev	NM_001316627	Intron	5	10358505	10358562	58
