Gene name	Chromosome/scaffold name	Strand direction	Transcript	Intron/Exon	Intron/Exon number	Start (bp)	End (bp)	Length
CG4293	chrX	Rev	NM_001038727	Exon	5	527941	528483	543
CG4293	chrX	Rev	NM_001038727	Exon	4	528545	529351	807
CG13364	chrX	Rev	NM_144243	Exon	2	624757	625105	349
CG13364	chrX	Rev	NM_144243	Exon	1	625166	625203	38
CG13365	chrX	Rev	NM_130493	Exon	1	620717	621215	499
Dredd	chrX	Rev	NM_057903	Exon	5	633622	633838	217
Dredd	chrX	Rev	NM_057903	Exon	4	633902	634056	155
Dredd	chrX	Rev	NM_057903	Exon	3	634125	634487	363
Dredd	chrX	Rev	NM_057903	Exon	2	634564	635289	726
Dredd	chrX	Rev	NM_057903	Exon	1	635394	635545	152
RpL36	chrX	Rev	NM_057281	Exon	3	628349	628686	338
RpL36	chrX	Rev	NM_057281	Exon	2	628751	628878	128
RpL36	chrX	Rev	NM_057281	Exon	1	629382	629483	102
CG13361	chrX	Rev	NM_130499	Exon	2	752011	752235	225
CG13361	chrX	Rev	NM_130499	Exon	1	752314	753653	1340
CG13362	chrX	Rev	NM_130498	Exon	3	749241	750714	1474
CG13362	chrX	Rev	NM_130498	Exon	2	750773	750834	62
CG13362	chrX	Rev	NM_130498	Exon	1	751152	751301	150
RpL22	chrX	Rev	NM_057786	Exon	3	762560	762991	432
RpL22	chrX	Rev	NM_057786	Exon	2	764302	764922	621
RpL22	chrX	Rev	NM_057786	Exon	1	765084	765130	47
CG13358	chrX	Rev	NM_130506	Exon	2	803424	804002	579
CG13358	chrX	Rev	NM_130506	Exon	1	804074	804921	848
CG13359	chrX	Rev	NM_130505	Exon	1	801669	803470	1802
CG13360	chrX	Rev	NM_130503	Exon	3	787855	788527	673
CG13360	chrX	Rev	NM_130503	Exon	2	788592	788903	312
CG13360	chrX	Rev	NM_130503	Exon	1	789472	790089	618
CG3713	chrX	Rev	NM_144244	Exon	1	846171	847157	987
CDC45L	chrX	Rev	NM_130524	Exon	2	1028291	1029364	1074
CDC45L	chrX	Rev	NM_130524	Exon	1	1029417	1030556	1140
CG11638	chrX	Rev	NM_130523	Exon	5	1013984	1015079	1096
CG11638	chrX	Rev	NM_130523	Exon	4	1015140	1015349	210
CG11638	chrX	Rev	NM_130523	Exon	3	1015469	1016246	778
CG11638	chrX	Rev	NM_130523	Exon	2	1016521	1016708	188
CG11638	chrX	Rev	NM_130523	Exon	1	1026514	1026703	190
CG32814	chrX	Rev	NM_166869	Exon	3	1019795	1020568	774
CG32814	chrX	Rev	NM_166869	Exon	2	1020892	1021594	703
CG32814	chrX	Rev	NM_166869	Exon	1	1026514	1026700	187
CG3699	chrX	Rev	NM_130519	Exon	1	946662	947500	839
CG3703	chrX	Rev	NM_130518	Exon	3	942474	942796	323
CG3703	chrX	Rev	NM_130518	Exon	2	943302	944096	795
CG3703	chrX	Rev	NM_130518	Exon	1	944396	945773	1378
CG3704	chrX	Rev	NM_130516	Exon	3	939170	939676	507
CG3704	chrX	Rev	NM_130516	Exon	2	939733	940086	354
CG3704	chrX	Rev	NM_130516	Exon	1	940152	940805	654
CG3706	chrX	Rev	NM_144377	Exon	1	930931	932475	1545
CG3708	chrX	Rev	NM_130515	Exon	1	928798	930098	1301
TfIIA-S-2	chrX	Rev	NM_130521	Exon	2	1011101	1011392	292
TfIIA-S-2	chrX	Rev	NM_130521	Exon	1	1011474	1011643	170
CG3655	chrX	Rev	NM_001103392	Exon	5	1073041	1076300	3260
CG3655	chrX	Rev	NM_001103392	Exon	4	1076433	1077097	665
CG3655	chrX	Rev	NM_001103392	Exon	3	1077210	1077512	303
CG3655	chrX	Rev	NM_001103392	Exon	2	1102347	1102401	55
CG3655	chrX	Rev	NM_001103392	Exon	1	1134185	1134896	712
CG3690	chrX	Rev	NM_001297835	Exon	8	948585	949485	901
CG3690	chrX	Rev	NM_001297835	Exon	7	949544	949671	128
CG3690	chrX	Rev	NM_001297835	Exon	6	949733	949892	160
CG3690	chrX	Rev	NM_001297835	Exon	5	949958	950250	293
CG3690	chrX	Rev	NM_001297835	Exon	4	950364	950599	236
CG3690	chrX	Rev	NM_001297835	Exon	3	950658	950839	182
CG3690	chrX	Rev	NM_001297835	Exon	2	951197	951375	179
CG3690	chrX	Rev	NM_001297835	Exon	1	951440	951900	461
CG3711	chrX	Rev	NM_130513	Exon	6	922889	923551	663
CG3711	chrX	Rev	NM_130513	Exon	5	923605	924618	1014
CG3711	chrX	Rev	NM_130513	Exon	4	924739	924917	179
CG3711	chrX	Rev	NM_130513	Exon	3	924973	925148	176
CG3711	chrX	Rev	NM_130513	Exon	2	925218	926633	1416
CG3711	chrX	Rev	NM_130513	Exon	1	926696	927582	887
CG11384	chrX	Rev	NM_130531	Exon	1	1173877	1176035	2159
Atf3	chrX	Rev	NM_138988	Exon	5	1242740	1248008	5269
Atf3	chrX	Rev	NM_138988	Exon	4	1251172	1251261	90
Atf3	chrX	Rev	NM_138988	Exon	3	1251340	1252096	757
CG11403	chrX	Rev	NM_130542	Exon	3	1236873	1237707	835
CG11403	chrX	Rev	NM_130542	Exon	2	1237766	1237963	198
CG11403	chrX	Rev	NM_130542	Exon	1	1238028	1239884	1857
MTPAP	chrX	Rev	NM_001272200	Exon	4	1344872	1345098	227
MTPAP	chrX	Rev	NM_001272200	Exon	3	1345175	1346120	946
MTPAP	chrX	Rev	NM_001272200	Exon	2	1348222	1349077	856
MTPAP	chrX	Rev	NM_001272200	Exon	1	1349144	1349357	214
CG3719	chrX	Rev	NM_143733	Exon	2	1378885	1379372	488
CG3719	chrX	Rev	NM_143733	Exon	1	1380138	1380480	343
png	chrX	Rev	NM_058144	Exon	1	1356488	1357601	1114
CG11409	chrX	Rev	NM_001297843	Exon	3	1329518	1333436	3919
CG11409	chrX	Rev	NM_001297843	Exon	2	1333503	1333717	215
CG11409	chrX	Rev	NM_001297843	Exon	1	1341325	1341587	263
CG12773	chrX	Rev	NM_001297844	Exon	7	1349623	1351037	1415
CG12773	chrX	Rev	NM_001297844	Exon	6	1351102	1351280	179
CG12773	chrX	Rev	NM_001297844	Exon	5	1351345	1351926	582
CG12773	chrX	Rev	NM_001297844	Exon	4	1351994	1352228	235
CG12773	chrX	Rev	NM_001297844	Exon	3	1352286	1352487	202
CG12773	chrX	Rev	NM_001297844	Exon	2	1352654	1353198	545
CG12773	chrX	Rev	NM_001297844	Exon	1	1353253	1353981	729
CG14785	chrX	Rev	NM_130556	Exon	3	1455215	1455695	481
CG14785	chrX	Rev	NM_130556	Exon	2	1455750	1455949	200
CG14785	chrX	Rev	NM_130556	Exon	1	1456023	1457054	1032
CG14787	chrX	Rev	NM_130558	Exon	1	1460807	1461676	870
CG14795	chrX	Rev	NM_130569	Exon	3	1512227	1512357	131
CG14795	chrX	Rev	NM_130569	Exon	2	1512413	1512595	183
CG14795	chrX	Rev	NM_130569	Exon	1	1512661	1512803	143
CG32808	chrX	Rev	NM_166886	Exon	2	1468693	1469098	406
CG32808	chrX	Rev	NM_166886	Exon	1	1469161	1469817	657
Lrpprc2	chrX	Rev	NM_130557	Exon	2	1457175	1458201	1027
Lrpprc2	chrX	Rev	NM_130557	Exon	1	1458263	1460617	2355
Nmdar2	chrX	Rev	NM_001297859	Exon	11	1483625	1486591	2967
Nmdar2	chrX	Rev	NM_001297859	Exon	10	1489452	1489553	102
Nmdar2	chrX	Rev	NM_001297859	Exon	9	1489668	1490175	508
O-fut2	chrX	Rev	NM_130560	Exon	1	1464363	1465996	1634
Rab27	chrX	Rev	NM_130565	Exon	3	1473884	1474510	627
Rab27	chrX	Rev	NM_130565	Exon	2	1474675	1474892	218
Rab27	chrX	Rev	NM_130565	Exon	1	1476256	1476974	719
Nmdar2	chrX	Rev	NM_001297859	Exon	8	1490541	1490692	152
Nmdar2	chrX	Rev	NM_001297859	Exon	7	1490754	1490906	153
Nmdar2	chrX	Rev	NM_001297859	Exon	6	1490969	1491258	290
Nmdar2	chrX	Rev	NM_001297859	Exon	5	1491356	1491949	594
Nmdar2	chrX	Rev	NM_001297859	Exon	4	1492160	1492310	151
Nmdar2	chrX	Rev	NM_001297859	Exon	3	1492491	1493262	772
Nmdar2	chrX	Rev	NM_001297859	Exon	2	1501797	1502502	706
Nmdar2	chrX	Rev	NM_001297859	Exon	1	1507430	1507809	380
Ns3	chrX	Rev	NM_001297850	Exon	4	1461844	1462312	469
Ns3	chrX	Rev	NM_001297850	Exon	3	1462373	1462578	206
Ns3	chrX	Rev	NM_001297850	Exon	2	1462646	1463939	1294
Ns3	chrX	Rev	NM_001297850	Exon	1	1464014	1464220	207
a6	chrX	Rev	NM_001272213	Exon	3	1693615	1693958	344
a6	chrX	Rev	NM_001272213	Exon	2	1694122	1695474	1353
a6	chrX	Rev	NM_001272213	Exon	1	1695540	1695889	350
CG3740	chrX	Rev	NM_130576	Exon	2	1668406	1668744	339
CG3740	chrX	Rev	NM_130576	Exon	1	1668808	1669297	490
CG14811	chrX	Rev	NM_130586	Exon	2	1821469	1822171	703
CG14811	chrX	Rev	NM_130586	Exon	1	1822236	1822381	146
Scgdelta	chrX	Rev	NM_001169168	Exon	5	1746687	1746810	124
Scgdelta	chrX	Rev	NM_001169168	Exon	4	1748032	1748293	262
Scgdelta	chrX	Rev	NM_001169168	Exon	3	1749697	1749817	121
Scgdelta	chrX	Rev	NM_001169168	Exon	2	1749895	1750484	590
Scgdelta	chrX	Rev	NM_001169168	Exon	1	1753716	1754065	350
CG14810	chrX	Rev	NM_001258553	Exon	3	1819495	1820118	624
CG14810	chrX	Rev	NM_001258553	Exon	2	1820183	1820240	58
CG14810	chrX	Rev	NM_001258553	Exon	1	1820307	1820341	35
CG3795	chrX	Rev	NM_001297861	Exon	3	1708806	1709439	634
CG3795	chrX	Rev	NM_001297861	Exon	2	1709505	1709775	271
CG3795	chrX	Rev	NM_001297861	Exon	1	1709841	1710182	342
deltaCOP	chrX	Rev	NM_001169171	Exon	8	1859141	1859813	673
deltaCOP	chrX	Rev	NM_001169171	Exon	7	1859871	1859982	112
deltaCOP	chrX	Rev	NM_001169171	Exon	6	1860057	1860370	314
deltaCOP	chrX	Rev	NM_001169171	Exon	5	1860427	1860621	195
deltaCOP	chrX	Rev	NM_001169171	Exon	4	1860686	1861098	413
deltaCOP	chrX	Rev	NM_001169171	Exon	3	1861156	1861379	224
deltaCOP	chrX	Rev	NM_001169171	Exon	2	1861446	1861485	40
deltaCOP	chrX	Rev	NM_001169171	Exon	1	1861595	1861790	196
CG14812	chrX	Rev	NM_001272215	Exon	4	1857889	1858406	518
CG14812	chrX	Rev	NM_001272215	Exon	3	1858561	1858678	118
CG14812	chrX	Rev	NM_001272215	Exon	2	1858736	1858797	62
CG14812	chrX	Rev	NM_001272215	Exon	1	1858868	1858971	104
CG14818	chrX	Rev	NM_001272217	Exon	3	1879019	1879350	332
CG14818	chrX	Rev	NM_001272217	Exon	2	1879412	1879558	147
CG14818	chrX	Rev	NM_001272217	Exon	1	1879656	1879774	119
CG3857	chrX	Rev	NM_206607	Exon	1	1937700	1940040	2341
CG32801	chrX	Rev	NM_166913	Exon	2	1902082	1902462	381
CG32801	chrX	Rev	NM_166913	Exon	1	1902622	1903177	556
Edem1	chrX	Rev	NM_166915	Exon	5	1903704	1904281	578
Edem1	chrX	Rev	NM_166915	Exon	4	1904493	1906235	1743
Edem1	chrX	Rev	NM_166915	Exon	3	1906306	1907434	1129
Edem1	chrX	Rev	NM_166915	Exon	2	1907495	1907817	323
Edem1	chrX	Rev	NM_166915	Exon	1	1908350	1908827	478
Pex5	chrX	Rev	NM_166910	Exon	2	1866832	1868714	1883
Pex5	chrX	Rev	NM_166910	Exon	1	1868787	1869061	275
CG32803	chrX	Rev	NM_130601	Exon	4	1900699	1901013	315
CG32803	chrX	Rev	NM_130601	Exon	3	1901065	1901277	213
Pgam5	chrX	Rev	NM_130595	Exon	2	1872400	1872906	507
Pgam5	chrX	Rev	NM_130595	Exon	1	1872973	1873565	593
CG14814	chrX	Rev	NM_001297864	Exon	6	1862009	1862643	635
CG14814	chrX	Rev	NM_001297864	Exon	5	1862703	1862960	258
CG14814	chrX	Rev	NM_001297864	Exon	4	1863027	1863705	679
CG14814	chrX	Rev	NM_001297864	Exon	3	1863769	1864107	339
CG14814	chrX	Rev	NM_001297864	Exon	2	1864170	1865622	1453
CG14814	chrX	Rev	NM_001297864	Exon	1	1865689	1865835	147
CG16903	chrX	Rev	NM_130624	Exon	3	2078343	2078774	432
CG16903	chrX	Rev	NM_130624	Exon	2	2078832	2079644	813
CG16903	chrX	Rev	NM_130624	Exon	1	2079715	2080405	691
CG4045	chrX	Rev	NM_130622	Exon	4	2074795	2074971	177
CG4199	chrX	Rev	NM_166921	Exon	3	2066435	2068423	1989
CG4199	chrX	Rev	NM_166921	Exon	2	2071360	2071580	221
CG4199	chrX	Rev	NM_166921	Exon	1	2073377	2073483	107
Actn	chrX	Rev	NM_058137	Exon	10	2023822	2025699	1878
Actn	chrX	Rev	NM_058137	Exon	9	2025775	2026909	1135
Actn	chrX	Rev	NM_058137	Exon	8	2027284	2027462	179
Actn	chrX	Rev	NM_058137	Exon	7	2027521	2027871	351
Actn	chrX	Rev	NM_058137	Exon	6	2027935	2028027	93
Actn	chrX	Rev	NM_058137	Exon	5	2029775	2029926	152
Actn	chrX	Rev	NM_058137	Exon	4	2030215	2030368	154
Actn	chrX	Rev	NM_058137	Exon	3	2030443	2030859	417
Actn	chrX	Rev	NM_058137	Exon	2	2034955	2035198	244
Actn	chrX	Rev	NM_058137	Exon	1	2042047	2042311	265
CG14054	chrX	Rev	NM_130618	Exon	4	2065273	2065703	431
ph-d	chrX	Rev	NM_001103395	Exon	5	2115727	2117617	1891
ph-d	chrX	Rev	NM_001103395	Exon	4	2117681	2119491	1811
ph-d	chrX	Rev	NM_001103395	Exon	3	2119551	2120001	451
ph-d	chrX	Rev	NM_001103395	Exon	2	2120063	2121624	1562
ph-d	chrX	Rev	NM_001103395	Exon	1	2122982	2123286	305
CG14053	chrX	Rev	NM_001272251	Exon	2	2191639	2192972	1334
CG14053	chrX	Rev	NM_001272251	Exon	1	2193478	2193909	432
Cyp4d1	chrX	Rev	NM_166932	Exon	3	2159145	2159564	420
Cyp4d1	chrX	Rev	NM_166932	Exon	2	2159625	2160248	624
Cyp4d1	chrX	Rev	NM_166932	Exon	1	2161581	2162180	600
SmydA-8	chrX	Rev	NM_001014718	Exon	2	2205860	2206463	604
SmydA-8	chrX	Rev	NM_001014718	Exon	1	2212867	2213809	943
CG18031	chrX	Rev	NM_143764	Exon	6	2201820	2202005	186
CG18031	chrX	Rev	NM_143764	Exon	5	2202060	2202206	147
CG18031	chrX	Rev	NM_143764	Exon	4	2202273	2202843	571
CG18031	chrX	Rev	NM_143764	Exon	3	2202899	2203008	110
CG18031	chrX	Rev	NM_143764	Exon	2	2203133	2203221	89
CG18031	chrX	Rev	NM_143764	Exon	1	2203289	2203866	578
Cyp4d14	chrX	Rev	NM_143763	Exon	3	2173415	2174400	986
Cyp4d14	chrX	Rev	NM_143763	Exon	2	2174464	2174920	457
Cyp4d14	chrX	Rev	NM_143763	Exon	1	2175074	2175315	242
Nmd3	chrX	Rev	NM_057984	Exon	2	2182818	2183549	732
Nmd3	chrX	Rev	NM_057984	Exon	1	2183610	2184668	1059
Vinc	chrX	Rev	NM_001297884	Exon	6	2214347	2215122	776
Vinc	chrX	Rev	NM_001297884	Exon	5	2215255	2215653	399
Vinc	chrX	Rev	NM_001297884	Exon	4	2215713	2215843	131
Vinc	chrX	Rev	NM_001297884	Exon	3	2215905	2218095	2191
Vinc	chrX	Rev	NM_001297884	Exon	2	2220373	2220524	152
Vinc	chrX	Rev	NM_001297884	Exon	1	2222473	2222567	95
bcn92	chrX	Rev	NM_057711	Exon	3	2148463	2148843	381
bcn92	chrX	Rev	NM_057711	Exon	2	2149221	2149341	121
CG2865	chrX	Rev	NM_001272255	Exon	3	2278031	2282517	4487
CG2865	chrX	Rev	NM_001272255	Exon	2	2292325	2293293	969
CG2865	chrX	Rev	NM_001272255	Exon	1	2293353	2293411	59
CG14050	chrX	Rev	NM_001258558	Exon	2	2324748	2325305	558
CG14050	chrX	Rev	NM_001258558	Exon	1	2325391	2326217	827
CG12496	chrX	Rev	NM_130647	Exon	1	2409365	2410901	1537
CG32797	chrX	Rev	NM_166939	Exon	1	2424925	2425855	931
PsGEF	chrX	Rev	NM_130645	Exon	16	2367121	2368644	1524
PsGEF	chrX	Rev	NM_130645	Exon	15	2368704	2368905	202
PsGEF	chrX	Rev	NM_130645	Exon	14	2368969	2369676	708
PsGEF	chrX	Rev	NM_130645	Exon	13	2369744	2370228	485
PsGEF	chrX	Rev	NM_130645	Exon	12	2370336	2370998	663
PsGEF	chrX	Rev	NM_130645	Exon	11	2371815	2371896	82
PsGEF	chrX	Rev	NM_130645	Exon	10	2372591	2372706	116
PsGEF	chrX	Rev	NM_130645	Exon	9	2372767	2374524	1758
PsGEF	chrX	Rev	NM_130645	Exon	8	2374705	2375250	546
PsGEF	chrX	Rev	NM_130645	Exon	7	2379042	2379216	175
CG13760	chrX	Rev	NM_130654	Exon	5	2583745	2584395	651
